Formula,Remark,VdWRad_Mis,IonicRad_Mis,PeriodNum_Mis,AtomicNum_Mis,EN_Var,EA_Mm,Pol_m/n,MN_Mis,a,c,ฆาRT(ms/cm)
Li3HoBr6,สาฮย,0.091093303,0.166509087,0.125622253,0.212529202,3199.737048,248.2126126,15.23809524,0.271122781,6.923,6.877,1.1
Li2.73Ho1.09Cl6,25กๆ,0.11098596,0.193731311,0.208694076,0.384990421,1796.003004,203.9843897,21.91780822,0.383841777,12.98,6.054,1.3
Li3HoCl6,สาฮย,0.11105341,0.192034554,0.211789602,0.396368149,1796.003004,209.069697,21.91780822,0.375945763,11.16,6.011,0.29
Li2.73Dy1.09Cl6,สาฮย,0.113139647,0.195859608,0.209002751,0.383198849,1732.032104,204.809617,22.53424658,0.381645173,,,0.9
Li2.73Y1.09Cl6,สาฮย,0.079781834,0.174963788,0.160030194,0.28143225,914.5589037,237.0370611,22.32876712,0.32082518,,,0.7
Li2.73Er1.09Cl6,สาฮย,0.110922686,0.199076677,0.208382532,0.386681151,1862.532548,203.1679136,21.50684932,0.384297973,,,0.64
Li2.73Tm1.09Cl6,สาฮย,0.110856467,0.201978277,0.208068312,0.388275108,1931.680159,202.3600503,21.09589041,0.38560131,,,0.89
Li3TiCl6,25กๆ,0.050047278,0.189061434,0.090943061,0.149805025,740.2238667,268.4817204,18.08219178,0.251046538,6.35,6.337,1.04
Li3InCl6,สาฮย,0.058510053,0.203182717,0.162208954,0.345184697,1967.1624,225.0436416,15.68493151,0.150998805,6.432,6.398,1.49
Li3ScCl6,สาฮย,0.061982306,0.167128414,0.090001359,0.144989516,698.7593926,273.0293478,17.87671233,0.261224187,6.398,6.391,3.02
LiScCl4,สาฮย,0.065363182,0.178312099,0.08689603,0.108437375,698.7593926,260.8942708,17.87671233,0.271216235,,,0.123
Li1.5ScCl4.5,สาฮย,0.06435268,0.174771863,0.088388128,0.121430209,698.7593926,264.8253521,17.87671233,0.268018736,,,0.243
Li2ScCl5,สาฮย,0.063464585,0.171809069,0.089269366,0.131175637,698.7593926,268.0508547,17.87671233,0.265366999,6.423,6.442,0.624
Li2.5ScCl5.5,สาฮย,0.062679789,0.169292632,0.089762278,0.138815178,698.7593926,270.745098,17.87671233,0.263132542,,,2.57
Li3.5ScCl6.5,สาฮย,0.061358951,0.165247062,0.090071356,0.150094813,698.7593926,274.9905724,17.87671233,0.25957547,,,2.42
Li4ScCl7,สาฮย,0.060798882,0.163596346,0.090027422,0.154392448,698.7593926,276.6927673,17.87671233,0.258136818,,,1.98
LiAlCl4,สาฮย,0.041115578,0.179082939,0.038330051,0.109305966,664.9076259,289.7971264,15.20547945,0.227215755,6.96,12.85,0.001
Li2ZrCl6,สาฮย,0.068267781,0.203834996,0.156349722,0.280678428,1014.2244,247.1888889,18.90410959,0.281129385,10.97,5.93,0.81
Li3YCl6,สาฮย,0.063297877,0.173078966,0.160140602,0.285405775,914.5589037,241.175,22.32876712,0.315718028,11.22,6.05,0.51
Li3ErCl6,25กๆ,0.111018929,0.19717712,0.211526901,0.398247015,1862.532548,208.2703518,21.50684932,0.37724076,11.16,6.02,0.087
Li3YBr6,25กๆ,0.067675648,0.139264344,0.075798609,0.104043939,2575.673748,270.6677966,15.52380952,0.168922588,6.92,6.93,0.72
Li1.52Mn1.24Cl4,25กๆ,0.027316409,0.188761829,0.095461198,0.157057442,791.0468259,226.1658929,15.89041096,0.22819721,10.63,,0.015
Li1.6Mg1.2Cl4,สาฮย,0.052247758,0.164932322,0.047472615,0.137888734,659.1361037,275.1528889,16.10958904,0.264551676,10.48,,0.035
Li2Sc2/3Cl4,30กๆ,0.047279602,0.167128414,0.090001359,0.144989516,698.7593926,273.0293478,17.87671233,0.261224187,10.4,,1.5
Li3YbCl6,30กๆ,0.108366335,0.203206003,0.210717912,0.400436336,2110.0884,205.919802,20.75342466,0.381041528,11.12,6.01,0.19
Li2.61Y1.13Cl6,25กๆ,0.064378517,0.175716772,0.159830295,0.279450564,914.5589037,235.2757003,22.32876712,0.322919583,,,0.38
Li3ScBr6,สาฮย,0.048804323,0.12520412,0.056602968,0.124985166,2500.424993,289.1467033,12.42857143,0.177577114,6.8,6.7,1.4
Li3ErI6,สาฮย,0.056734707,0.15731202,0.068056299,0.101810333,5139.177867,246.8884211,9.544072948,0.222150558,7.42,14.41,0.65
LiAlF4,สาฮย,0.105586645,0.231359827,0.110653039,0.145562519,312.6754037,240.8427273,6.747720365,0.152265847,,,0.001
Li2.7AlF5.4,สาฮย,0.109830876,0.221352187,0.102062073,0.1762723,312.6754037,241.9309091,6.747720365,0.210636433,,,0.075
Li3InBr6,สาฮย,0.037316804,0.164044022,0.077926396,0.131483282,3335.352326,260.3621753,10.9047619,0.114091553,6.756,6.758,1
LiGaBr4,สาฮย,0.025564893,0.178062377,0.038330631,0.075127707,2670.34727,267.7889169,10.19047619,0.089473425,7.45,13.71,0.007
Li2VCl4,สาฮย,0.043430615,0.224075189,0.096824381,0.154608544,776.7182926,255,17.19178082,0.263263306,7.26,10.37,0.006
Li2MnCl4,สาฮย,0.043446322,0.182278534,0.097554571,0.169977421,791.0468259,237.7722488,15.89041096,0.230632907,7.36,10.37,0.004
Li1.6Fe1.2Cl4,สาฮย,0.042183783,0.198762368,0.09600704,0.16809505,914.5589037,231.6051282,15.47945205,0.210002586,,,0.013
Li3FeCl6,สาฮย,0.043194839,0.172882649,0.093096682,0.177180107,914.5589037,262.7902439,15.47945205,0.204359794,6.2441,6.2851,0.13
Li6FeCl8,สาฮย,0.046670354,0.169663155,0.096047534,0.198774235,914.5589037,268.3204188,15.47945205,0.224721912,,,0.22
Li6CoCl8,สาฮย,0.044603158,0.142386638,0.096779397,0.205697518,968.9416148,273.7077922,15,0.217064671,,,0.062
Li3TbCl6,สาฮย,0.059819921,0.188082417,0.212664693,0.394461843,1452.245067,212.5664122,22.87671233,0.370074113,,,0.2
Li3DyCl6,สาฮย,0.113269441,0.193482257,0.21217601,0.395396053,1732.032104,210.9284635,22.53424658,0.372738778,,,0.1
Li3TmCl6,สาฮย,0.111068396,0.199417414,0.211412042,0.401143082,1931.680159,208.5325062,21.09589041,0.376627309,,,0.1
Li3YI6,สาฮย,0.02494699,0.125240673,0.053885225,0.098125266,4666.15717,262.4178899,9.90881459,0.176930318,,,0.1
Li3GaF6,สาฮย,0.108466395,0.260094679,0.204090403,0.400112383,813.3258926,198.3736585,57.21925134,0.192137338,,,0.088
Li2.65YCl5.65,สาฮย,0.079460728,0.173790214,0.159846922,0.282427175,914.5589037,239.1512433,22.32876712,0.31771285,,,0.205
Li2.83Y1.06Cl6,สาฮย,0.079422547,0.17367663,0.159836614,0.282572578,914.5589037,239.3707474,22.32876712,0.317410995,,,0.57
Li2.727Y1.091Cl6,สาฮย,0.079690102,0.174233305,0.159726354,0.28109662,914.5589037,238.0627118,22.32876712,0.318935756,,,0.69
Li3LaI6,สาฮย,0.038242685,0.129811045,0.067104546,0.084575951,4776.07397,252.5661605,13.34346505,0.207154322,,,0.96
Li3TbBr6,สาฮย,0.055606602,0.16314205,0.125069485,0.203437143,2936.59997,250.0145455,15.9047619,0.267539219,,,1.7
Li1.4MgCl3.4,สาฮย,0.038006366,0.164477418,0.048179375,0.139335761,659.1361037,275.6222513,16.10958904,0.264059473,,,0.00869
Li4YI7,สาฮย,0.023596251,0.120836405,0.057950203,0.102524175,4666.15717,264.2604374,9.90881459,0.170806992,,,1.04
